Image,Title,Author,Price,ASIN,ISBN13,Rank,AvgRating,Reviews,Ratings
"=Image(""http://ecx.images-amazon.com/images/I/41iq9y0hmML._SL75_.jpg"")",A Stolen Life: A Memoir,Jaycee Dugard,$24.99,1451629184,9781451629187,3,0.0,436,0
"=Image(""http://ecx.images-amazon.com/images/I/51JDHCjAu-L._SL75_.jpg"")",Programming: Principles and Practice Using C++,Bjarne Stroustrup,$69.99,0321543726,9780321543721,35041,3.17,37,6
"=Image(""http://ecx.images-amazon.com/images/I/51UBDWOkjXL._SL75_.jpg"")",CSS Pocket Reference,Eric A. Meyer,$14.99,1449399037,9781449399030,66199,4.09,0,0
"=Image(""http://ecx.images-amazon.com/images/I/51OT1iIDD+L._SL75_.jpg"")","The Official Guide for GMAT Review, 12th Edition",Graduate Management Admission Council (GMAC),$36.95,0470449748,9780470449745,125,4.14,16,1
"=Image(""http://ecx.images-amazon.com/images/I/518Vk+T443L._SL75_.jpg"")",Principles of Information Security,Michael E. Whitman,$123.95,1111138214,9781111138219,54707,3.00,1,0
"=Image(""http://ecx.images-amazon.com/images/I/51CFSVYIY1L._SL75_.jpg"")",Algebra Survival Guide Workbook: Thousands of Problems to Sharpen Skills and Enhance Understanding,Josh Rappaport,$9.95,0965911373,9780965911375,2481,4.50,4,2
"=Image(""http://ecx.images-amazon.com/images/I/51LH8L4tjBL._SL75_.jpg"")",The Age of Darkness (The Horus Heresy),,$8.99,1849700370,9781849700375,5515,,,
"=Image(""http://ecx.images-amazon.com/images/I/51pZmGudPkL._SL75_.jpg"")","Microsoft SharePoint 2007 Wrox Box: Professional SharePoint 2007 Development, Real World SharePoint 2007, Professional SharePoint 2007 Design & ... 2007 Web Content Management Development",John Holliday,$169.99,0470431946,9780470431948,929035,3.50,5,2
"=Image(""http://ecx.images-amazon.com/images/I/51yaobYpdkL._SL75_.jpg"")",CompTIA Security+: Get Certified Get Ahead: SY0-201 Study Guide,Darril Gibson,$35.99,1439236364,9781439236369,5897,4.50,7,4
"=Image(""http://ecx.images-amazon.com/images/I/51lg5JNal3L._SL75_.jpg"")",Absolute Beginner's Guide to C (2nd Edition),Greg Perry,$39.99,0672305100,9780672305108,24817,3.00,16,6
"=Image(""http://ecx.images-amazon.com/images/I/516hgRTyjGL._SL75_.jpg"")",Conversion Optimization: The Art and Science of Converting Prospects to Customers,Khalid Saleh,$34.99,1449377564,9781449377564,50323,4.00,6,1
"=Image(""http://ecx.images-amazon.com/images/I/51yRYDyg3hL._SL75_.jpg"")",Troubleshooting Analog Circuits (EDN Series for Design Engineers),Robert Pease,$60.95,0750694998,9780750694995,124225,3.50,7,2
"=Image(""http://ecx.images-amazon.com/images/I/51uS8ZPc47L._SL75_.jpg"")",Priceless Inspirations,Antonia Carter,$14.95,0982702760,9780982702765,762,3.00,35,6
